"Levitt, Arthur"
"Levy, Adele Rosenwald (Mrs. David)"
"Lewisohn, Adolph"
"Lie, Trygve"
"Lilienthal, David E."
"Limburg, Richard"
"Limpus, Lowell M."
"Linbergh Case: Candon, John F."
"Linder, Harold F."
"Lindley, Ernest K."
"Lindsay, John V."
"Lippman, Walter and Mrs. Helen"
"Lipsky, Louis"
"Litvinov, Maxim"
"Lodge, Henry Cabot Jr."
"Loeb, Frances Lehman"
"London, Alfred"
"Long, Russell B."
"Loudon, Alexander"
"Loughran, John T."
"Louis, Joe"
"Lovett, Robert A."
"Low, Robert A. and Mrs. Frances"
"Lubin, Isador"
"Lucas, Scott W."
"Luce, Henry R."
"Luckman, Charles"
"MacCracken, Henry Noble"
"MacDuffie, Marshall"
"MacFadden, Bernarr"
"MacLeish, Archibald"
"Mack, John E."
"Magnes, Judah L."
"Magnuson, Warren G."
"Maguire, Edward C."
"Mahoney, Jeremiah T."
"Malin, Patrick Murphy"
"Malone, George W."
"Manning, William T."
"Mansfield, Mike"
"Manship, Paul"
"Marchi, John J."
"Marchisio, Juvenal"
"Mark, Julius and Mrs. Margaret"
"Marshall, George C."
"Marshall, James and Mrs. Lenore"
"Marshall, Louis"
"Marshall, Thurgood"
"Martin, Edward"
"Marvin, Dwight"
"Masaryk, Jan"
"Master, Arthur M."
"Mates, Leo"
"May, Mitchell"
"Maybank, Burnet R."
"Mazur, Paul"
"McAdoo, William Gibbs"
"McAneny, George"
"McCarran, Pat"
"McCarthy, Eugene"
"McCarthy, Joseph R."
"McClellan, John L."
"McCloskey, Mark A."
"McCloskey, Matthew H."
"McCloy, John J."
"McCormack, John W."
"McDonald, David J."
"McDonald, James G."
"McEwen, William H."
"McFarland, Ernest W."
"McGohey, John F.X."
"McGranery, James P."
"McGrath, J. Howard"
"McGurrin, James"
"McIntyre, J. Francis"
"McKeldin, Theodore R."
"McKellar, Kenneth"
"McKeon, William H."
"McMahon, Brien"
"McNamara, Pat"
"McNutt, Paul V."
"McWilliams, Carey"
"Mead, James M."
"Meany, George"
"Meir, Golda"
"Mendes-France, Pierre"
"Menshikov, Michail A."
"Meyer, Eugene and Mrs. Agnes"
"Meyner, Robert B."
"Michael, Archbishop"
"Miller, Frieda S."
"Miller, Nathan L."
"Millikin, Eugene D."
"Millis, Walter"
"Mitchell, James P."
"Moffat, Abbot Low"
"Moley, Raymond"
"Molloy, Thomas E."
"Monnet, Jean"
"Monroney, A. S. Mike"
"Moody, Blair"
"Moore, Clarence H."
"Morgenstierne, W. Munthe"
"Morgenthau, Henry III"
"Morgenthau, Henry Jr. and Mrs. Elinor"
"Morgenthau, Henry Jr. and Mrs. Marcelle"
"Morgenthau, Henry Sr."
"Morgenthau, Robert M. and Martha"
"Morris, Newbold"
"Morris, William S."
"Morrison, James H."
"Morse, David A."
"Morse, Wayne"
"Moses, Robert"
"Moss, Frank E."
"Moynihan, Daniel P."
"Mulrooney, Edward P."
"Multer, Abraham"
"Mundit, Karl E."
"Munoz Marin, Luis"
"Murphy, Frank"
"Murray, James E."
"Murray, Philip"
"Murray, Thomas A."
"Murrow, Edward R."
"Muskie, Edmund S."
"Myers, Francis John"
"Nash, Walter"
"Nathan, Robert R. "
"Neely, Matthew M."
"Nehru, Jawaharlal"
"Nelson, Donald"
"Neuberger, Richard L."
"Neufeld, Maurice and Hinda"
"Neuman, Emanuel"
"Nevins, Allan"
"New York Young Democratic Club"
"Newgass, Benjamin and Mrs."
"Niebuhr, Reinhold"
"Nitze, Paul H."
"Nixon, Richard M."
"Noel-Baker, Philip"
"Norman, Dorothy"
"Norris, George W."
"Norwich, Viscount and Viscountess [Cooper, Duff and Diana]"
"O&#039;Boyle, Patrick A."
"O&#039;Brian, John Lord"
"O&#039;Brien, John P."
"O&#039;Connell, William Cardinal"
"O&#039;Connor, Basil"
"O&#039;Conor, Herbert R."
"O&#039;Day, Caroline"
"O&#039;Dwyer, William"
"O&#039;Grady, John"
"O&#039;Mahoney, Joseph C."
"O&#039;Neill, C. William"
"O&#039;Ryan, John F."
"Oakes, John B."
"Oldham, G. Ashton and Mrs."
"Olsen, Ole"
"Onassis, Jacqueline Kennedy"
"Oppenheimer, Robert"
"Osborn, William Church"
"Osborne, Lithgow and Mrs."
"Ottman, William"
"Oxnam, G. Bromley"
"Palestine Economic Corporation"
"Pandit, Vijaya Lakshmi"
"Parran, Thomas Jr."
"Pastore, John O."
"Patman, Wright"
"Patterson, Richard C. "
"Patterson, Robert P."
"Payne, Frederick G."
"Peabody, George Foster"
"Peale, Norman Vincent"
"Pearson, Drew"
"Pearson, Lester B."
"Pecora, Ferdinand"
"Pell, Herbert"
"Peoples, C.J."
"Pepper, Claude"
"Perkins, Frances"
"Perle, Philip"
"Perlman, Phillip B."
"Perry, Lewis"
"Pershing, John J."
"Petegorsky, David"
"Peter II, King of Yugoslavia"
"Phelps, Phelps"
"Pink, Louis H."
"Pittman, Key"
"Pius XII, Pope (Eugenio Pacelli)"
"Poletti, Charles"
"Polier, Justine Wise"
"Poling, Daniel A."
"Polk, Frank L."
"Pool, David de Sola and Mrs."
"Pope, Generoso"
"Porter, Cole"
"Potocki, George"
"Potofsky, Jacob S."
"Powell, Adam Clayton Jr."
"Prado, Manuel"
"Prendergast, Michael H. "
"Proskauer, Joseph M."
"Proxmire, William"
"Purtell, William A."
"Quezon, Manuel"
"Quill, Michael J."
"Rabinowitz, Aaron"
"Randolph, A. Philip"
"Randolph, Jennings"
"Raskob, John Jakob"
"Rayburn, Sam"
"Reddick, L.D."
"Reed, Stanley"
"Reid, Odgen R."
"Rentschler, Gordon S."
"Reuther, Walter P."
"Reynolds, Quentin"
